arm	size	budget_bt	gbs	lr	steps	tokens	loss	schedule
kda-sig-hybrid-lowrank	588M	30	128	0.0005	57221	30000283648	2.2676	chain
kda-sig-hybrid-lowrank	588M	50	128	0.0005	95368	50000297984	2.2284	chain
kda-sig-hybrid-lowrank	588M	6	64	0.0005	22889	6000214016	2.4430	chain
kda-sig-hybrid-lowrank	983M	12	64	0.0005	45777	12000165888	2.2920	chain
kda-sig-hybrid-lowrank	983M	20	128	0.0005	38147	20000014336	2.2369	chain
kda-sig-hybrid-lowrank	983M	30	128	0.0005	57221	30000283648	2.1981	chain
kda-sig-hybrid-lowrank	983M	50	128	0.0005	95368	50000297984	2.1571	chain
kda-sig-hybrid-lowrank	983M	6	64	0.0005	22889	6000214016	2.3810	chain
kda-sig-lowrank	1.7B	6	64	0.0005	22889	6000214016	2.3359	single
kda-sig-lowrank	1.7B	12	128	0.0005	22889	12000428032	2.2496	chain
kda-sig-lowrank	1.7B	20	128	0.0005	38147	20000014336	2.1882	chain
kda-sig-lowrank	1.7B	30	128	0.0005	57221	30000283648	2.1477	chain
kda-sig-lowrank	1.7B	50	128	0.0005	95368	50000297984	2.1046	chain
kda-sig-lowrank	588M	12	64	0.0005	45777	12000165888	2.3626	chain
kda-sig-lowrank	588M	20	128	0.0005	38147	20000014336	2.3143	chain
kda-sig-lowrank	588M	30	128	0.0005	57221	30000283648	2.2775	chain
kda-sig-lowrank	588M	50	128	0.0005	95368	50000297984	2.2386	chain
kda-sig-lowrank	588M	6	64	0.0005	22889	6000214016	2.4496	chain
kda-sig-lowrank	983M	12	64	0.0005	45777	12000165888	2.3009	chain
kda-sig-lowrank	983M	20	128	0.0005	38147	20000014336	2.2484	chain
kda-sig-lowrank	983M	30	128	0.0005	57221	30000283648	2.2098	chain
kda-sig-lowrank	983M	50	128	0.0005	95368	50000297984	2.1686	chain
kda-sig-lowrank	983M	6	64	0.0005	22889	6000214016	2.3905	chain
ckda-shipped-hybrid-lowrank	1.7B	6	64	0.0005	22889	6000214016	2.3299	single
ckda-shipped-hybrid-lowrank	1.7B	12	128	0.0005	22889	12000428032	2.2433	chain
ckda-shipped-hybrid-lowrank	1.7B	20	128	0.0005	38147	20000014336	2.1828	chain
ckda-shipped-hybrid-lowrank	1.7B	30	128	0.0005	57221	30000283648	2.1429	chain
ckda-shipped-hybrid-lowrank	1.7B	50	128	0.0005	95368	50000297984	2.1002	chain
ckda-shipped-hybrid-lowrank	588M	12	64	0.0005	45777	12000165888	2.3555	chain
